time_ms,ax,ay,az
2620,-123,-29,16815
2630,-204,-92,16610
2640,-94,34,17020
2650,-185,-39,16739
2660,-152,10,16853
2670,-210,-32,16639
2680,-204,-11,16624
2690,-174,32,16672
2700,-215,5,16475
2710,-218,15,16400
2720,-198,45,16398
2730,-217,37,16275
2740,-202,60,16268
2750,-243,27,16089
2760,-182,94,16262
2770,-237,44,16059
2780,-220,63,16106
2790,-225,59,16086
2800,-237,47,16048
2810,-151,131,16338
2820,-202,77,16170
2830,-177,97,16243
2840,-195,73,16165
2850,-118,142,16393
2860,-133,117,16301
2870,-142,96,16215
2880,-171,55,16057
2890,-144,69,16078
2900,-128,69,16061
2910,-113,69,16046
2920,-143,21,15886
2930,-117,29,15924
2940,-50,76,16113
2950,-17,89,16205
2960,-44,41,16113
2970,1,67,16282
2980,-26,16,16215
2990,-74,-52,16094
3000,-9,-9,16351
3010,-22,-44,16352
3020,9,-34,16495
3030,42,-23,16631
3040,82,-4,16779
3050,51,-55,16675
3060,106,-20,16840
3070,100,-45,16789
3080,80,-84,16673
3090,110,-71,16713
3100,164,-33,16826
3110,195,-18,16859
3120,104,-123,16486
3130,163,-76,16622
3140,131,-119,16461
3150,195,-64,16632
3160,203,-65,16627
3170,199,-75,16597
3180,178,-101,16519
3190,181,-102,16526
3200,190,-94,16561
3210,213,-71,16641
3220,203,-80,16606
3230,238,-42,16712
3240,243,-33,16710
3250,147,-123,16358
3260,197,-65,16483
3270,230,-24,16536
3280,230,-13,16476
3290,132,-100,16081
3300,228,7,16334
3310,149,-58,16009
3320,143,-49,15940
3330,193,15,16071
3340,122,-39,15816
3350,148,2,15904
3360,142,13,15907
3370,159,47,16007
3380,102,8,15882
3390,143,67,16096
3400,71,12,15944
3410,76,35,16056
3420,41,17,16035
3430,127,121,16416
3440,73,83,16319
3450,75,103,16404
3460,31,74,16321
3470,74,133,16519
3480,21,94,16385
3490,10,97,16385
3500,-5,94,16364
3510,-32,79,16309
3520,-69,53,16222
3530,-26,107,16410
3540,-56,86,16362
3550,-19,131,16551
3560,-73,84,16446
3570,-65,98,16558
3580,-109,59,16505
3590,-107,65,16606
3600,-121,54,16656
3610,-178,0,16554
3620,-165,14,16676
3630,-145,33,16804
3640,-174,4,16751
3650,-115,62,16974
3660,-198,-22,16700
3670,-189,-17,16709
3680,-170,-1,16739
3690,-154,9,16741
3700,-219,-60,16461
3710,-172,-18,16553
3720,-200,-51,16393
3730,-200,-58,16329
3740,-176,-40,16356
3750,-240,-111,16098
3760,-207,-85,16176
3770,-186,-71,16227
3780,-183,-75,16227
3790,-186,-84,16215
3800,-216,-121,16120
3810,-182,-94,16234
3820,-193,-112,16198
3830,-160,-84,16302
3840,-191,-122,16180
3850,-105,-42,16434
3860,-146,-89,16255
3870,-165,-113,16140
3880,-129,-82,16198
3890,-126,-85,16137
3900,-135,-98,16039
3910,-96,-64,16100
3920,-118,-90,15969
3930,-56,-32,16126
3940,-62,-42,16073
3950,-97,-81,15938
3960,-33,-20,16151
3970,-1,8,16273
3980,7,14,16331
3990,-18,-14,16281
4000,11,11,16421
4010,-18,-21,16364
4020,51,45,16636
4030,21,11,16560
4040,19,6,16570
4050,99,83,16836
4060,45,25,16639
4070,15,-8,16505
4080,62,34,16611
4090,113,81,16723
4100,101,65,16617
4110,95,54,16526
4120,199,152,16803
4130,133,82,16521
4140,179,122,16620
4150,163,100,16525
4160,153,84,16460
4170,164,89,16481
4180,152,71,16433
4190,154,65,16437
4200,212,117,16634
4210,139,37,16393
4220,180,71,16528
4230,210,95,16621
4240,214,91,16613
4250,133,4,16313
4260,187,51,16447
4270,234,92,16550
4280,232,84,16482
4290,217,63,16366
4300,154,-4,16089
4310,165,1,16064
4320,169,1,16026
4330,187,15,16051
4340,225,49,16157
4350,152,-24,15918
4360,162,-16,15975
4370,141,-37,15949
4380,157,-22,16064
4390,82,-95,15894
4400,111,-65,16076
4410,149,-23,16301
4420,116,-52,16285
4430,43,-120,16135
4440,105,-52,16426
4450,80,-70,16421
4460,-9,-151,16185
4470,-5,-138,16252
4480,61,-61,16518
4490,7,-105,16374
4500,-25,-125,16297
4510,-19,-106,16352
4520,19,-53,16519
4530,44,-14,16646
4540,-96,-139,16230
4550,-63,-90,16406
4560,-64,-75,16477
4570,-43,-36,16634
4580,-119,-96,16470
4590,-115,-74,16581
4600,-122,-63,16654
4610,-138,-61,16688
4620,-122,-28,16818
4630,-175,-63,16707
4640,-170,-41,16766
4650,-168,-22,16796
4660,-195,-32,16710
4670,-150,28,16842
4680,-234,-40,16526
4690,-208,0,16561
4700,-196,25,16540
4710,-203,29,16449
4720,-203,41,16383
4730,-177,77,16408
4740,-221,41,16205
4750,-171,99,16329
4760,-179,96,16269
4770,-229,51,16083
4780,-221,62,16100
4790,-188,97,16211
4800,-139,146,16378
4810,-205,77,16158
4820,-141,138,16372
4830,-224,51,16089
4840,-207,61,16126
4850,-181,78,16181
4860,-155,95,16226
4870,-205,34,16006
4880,-180,46,16027
4890,-137,75,16102
4900,-135,63,16040
4910,-119,63,16026
4920,-56,108,16175
4930,-89,57,16017
4940,-88,38,15985
4950,-83,23,15984
4960,-40,45,16126
4970,-20,44,16207
4980,-51,-8,16131
4990,7,29,16367
5000,3,3,16396
5010,17,-4,16483
5020,-31,-74,16359
5030,46,-18,16645
5040,52,-34,16679
5050,95,-11,16823
5060,62,-64,16694
5070,112,-34,16827
5080,136,-28,16858
5090,154,-27,16860
5100,129,-69,16707
5110,107,-106,16565
5120,98,-128,16466
5130,143,-96,16554
5140,168,-82,16583
5150,166,-94,16534
5160,180,-88,16550
5170,171,-103,16502
5180,258,-21,16786
5190,169,-113,16488
5200,244,-40,16742
5210,138,-147,16389
5220,224,-59,16675
5230,184,-96,16532
5240,191,-85,16536
5250,226,-44,16622
5260,252,-10,16666
5270,193,-60,16415
5280,168,-76,16267
5290,223,-10,16384
5300,156,-64,16095
5310,153,-54,16023
5320,159,-33,15994
5330,179,1,16024
5340,141,-21,15878
5350,176,30,15997
5360,200,71,16102
5370,141,29,15949
5380,60,-34,15740
5390,111,35,15990
5400,68,9,15935
5410,85,44,16086
5420,112,88,16271
5430,24,17,16070
5440,73,83,16319
5450,48,75,16312
5460,78,122,16479
5470,53,112,16449
5480,30,104,16417
5490,66,153,16571
5500,-35,64,16266
5510,28,140,16511
5520,8,131,16482
5530,-38,95,16371
5540,-11,130,16512
5550,-70,80,16380
5560,-98,59,16364
5570,-78,85,16516
5580,-96,73,16549
5590,-146,26,16476
5600,-106,69,16704
5610,-92,85,16841
5620,-117,61,16835
5630,-122,56,16881
5640,-120,58,16933
5650,-208,-30,16665
5660,-166,9,16807
5670,-185,-13,16724
5680,-174,-5,16725
5690,-220,-55,16522
5700,-189,-30,16561
5710,-170,-16,16560
5720,-211,-62,16357
5730,-165,-23,16446
5740,-203,-67,16265
5750,-246,-116,16079
5760,-201,-78,16199
5770,-193,-77,16204
5780,-141,-32,16370
5790,-209,-107,16141
5800,-223,-128,16097
5810,-194,-106,16196
5820,-208,-126,16150
5830,-204,-129,16154
5840,-148,-79,16323
5850,-167,-104,16231
5860,-176,-118,16158
5870,-135,-83,16241
5880,-132,-86,16186
5890,-133,-92,16115
5900,-16,20,16435
5910,-118,-86,16027
5920,-66,-39,16140
5930,-116,-92,15928
5940,-57,-37,16090
5950,-38,-22,16135
5960,-56,-43,16074
5970,-27,-18,16184
5980,-42,-36,16162
5990,-13,-10,16298
6000,-10,-10,16348
6010,0,-3,16424
6020,-3,-9,16452
6030,40,30,16625
6040,81,68,16775
6050,54,38,16686
6060,102,82,16829
6070,76,52,16707
6080,72,44,16647
6090,67,34,16568
6100,126,89,16698
6110,148,106,16701
6120,127,81,16564
6130,195,143,16727
6140,143,86,16500
6150,149,86,16477
6160,183,114,16561
6170,233,158,16710
6180,182,100,16532
6190,205,117,16608
6200,199,104,16591
6210,143,41,16406
6220,213,104,16637
6230,209,94,16618
6240,229,107,16665
6250,161,32,16406
6260,170,34,16391
6270,153,11,16281
6280,138,-9,16168
6290,212,58,16350
6300,187,28,16199
6310,163,0,16057
6320,223,55,16207
6330,156,-15,15945
6340,158,-16,15936
6350,193,15,16053
6360,135,-43,15884
6370,141,-38,15947
6380,170,-9,16107
6390,140,-38,16084
6400,137,-38,16164
6410,137,-36,16258
6420,113,-55,16277
6430,84,-79,16272
6440,67,-90,16300
6450,80,-70,16419
6460,36,-106,16336
6470,30,-102,16373
6480,-18,-141,16251
6490,51,-60,16522
6500,62,-37,16590
6510,-6,-93,16395
6520,-73,-147,16207
6530,-20,-79,16429
6540,7,-35,16575
6550,-56,-83,16427
6560,-29,-40,16592
6570,-59,-53,16579
6580,-75,-51,16618
6590,-50,-9,16796
6600,-121,-62,16657
6610,-135,-58,16698
6620,-148,-54,16731
6630,-194,-82,16643
6640,-200,-71,16667
6650,-189,-42,16728
6660,-180,-18,16758
6670,-191,-13,16704
6680,-189,3,16674
6690,-214,-6,16542
6700,-196,24,16539
6710,-161,71,16589
6720,-187,56,16434
6730,-157,97,16475
6740,-263,0,16065
6750,-239,31,16101
6760,-194,82,16221
6770,-181,100,16245
6780,-187,96,16214
6790,-211,74,16135
6800,-227,58,16084
6810,-204,79,16163
6820,-145,134,16357
6830,-206,68,16148
6840,-140,127,16348
6850,-172,87,16211
6860,-175,75,16159
6870,-103,136,16346
6880,-164,62,16079
6890,-117,96,16169
6900,-121,76,16084
6910,-127,54,15997
6920,-62,102,16156
6930,-71,74,16076
6940,-74,52,16031
6950,-96,10,15941
6960,-46,40,16108
6970,-29,35,16178
6980,-82,-38,16031
6990,-31,-9,16236
7000,13,13,16427
7010,24,2,16508
7020,48,4,16625
7030,34,-30,16605
7040,59,-27,16703
7050,49,-57,16670
7060,54,-72,16669
7070,52,-94,16626
7080,143,-21,16883
7090,117,-64,16736
7100,54,-144,16457
7110,92,-121,16514
7120,122,-104,16547
7130,138,-101,16536
7140,157,-93,16548
7150,190,-69,16616
7160,168,-100,16510
7170,166,-109,16485
7180,172,-107,16500
7190,184,-99,16537
7200,160,-124,16461
7210,236,-49,16717
7220,212,-71,16634
7230,221,-59,16657
7240,182,-94,16507
7250,198,-72,16529
7260,190,-72,16458
7270,159,-95,16299
7280,199,-45,16370
7290,189,-44,16271
7300,179,-41,16172
7310,194,-13,16161
7320,220,26,16196
7330,195,16,16076
7340,169,7,15973
7350,124,-22,15823
7360,129,0,15865
7370,140,29,15947
7380,109,15,15904
7390,124,48,16033
7400,148,89,16201
7410,109,68,16167
7420,40,16,16032
7430,104,98,16337
7440,67,78,16301
7450,47,74,16309
7460,75,118,16468
7470,33,92,16382
7480,79,153,16580
7490,-46,40,16195
7500,32,132,16493
7510,-15,96,16365
7520,6,129,16476
7530,-77,55,16238
7540,-75,66,16299
7550,-47,103,16459
7560,-82,75,16417
7570,-68,95,16549
7580,-40,128,16736
7590,-115,57,16580
7600,-130,45,16624
7610,-150,28,16649
7620,-74,105,16980
7630,-138,41,16829
7640,-222,-43,16591
7650,-186,-9,16736
7660,-171,3,16790
7670,-176,-4,16753
7680,-209,-40,16609
7690,-249,-85,16423
7700,-198,-39,16532
7710,-181,-27,16524
7720,-178,-29,16467
7730,-261,-119,16125
7740,-181,-45,16339
7750,-184,-55,16284
7760,-200,-78,16200
7770,-165,-50,16296
7780,-223,-114,16094
7790,-218,-116,16110
7800,-226,-130,16088
7810,-186,-97,16224
7820,-216,-134,16122
7830,-236,-161,16048
7840,-177,-108,16225
7850,-154,-91,16272
7860,-139,-82,16280
7870,-147,-95,16201
7880,-141,-95,16157
7890,-104,-63,16211
7900,-123,-87,16077
7910,-171,-138,15853
7920,-99,-71,16032
7930,-65,-41,16097
7940,-67,-47,16057
7950,-75,-59,16011
7960,-60,-47,16060
7970,0,9,16278
7980,-41,-34,16167
7990,18,21,16402
8000,23,23,16460
8010,22,19,16500
8020,85,79,16748
8029,36,26,16612
8040,79,66,16769
8050,96,80,16827
8060,100,80,16820
8070,24,0,16534
8080,88,60,16699
8090,139,107,16808
8100,141,105,16749
8109,190,149,16843
8120,136,89,16592
8130,196,144,16731
8140,115,58,16407
8150,167,104,16537
8160,104,35,16297
8170,187,112,16556
8180,227,145,16682
8189,209,120,16620
8200,247,152,16751
8210,203,101,16606
8220,208,99,16622
8230,162,47,16461
8240,195,73,16551
8250,168,39,16429
8260,182,46,16432
8270,157,15,16295
8280,173,24,16284
8290,237,83,16430
8300,159,0,16105
8310,158,-5,16040
8320,209,40,16158
8330,168,-4,15985
8340,156,-18,15930
8350,160,-17,15944
8360,224,45,16181
8370,86,-92,15766
8380,139,-39,16005
8390,128,-50,16045
8400,115,-61,16091
8410,83,-89,16081
8420,101,-67,16237
8430,104,-59,16339
8440,102,-55,16416
8450,58,-92,16345
8460,30,-111,16318
8470,89,-44,16567
8480,60,-62,16516
8490,-33,-145,16240
8500,8,-91,16411
8510,-17,-104,16360
8520,-68,-141,16224
8530,-47,-106,16338
8540,10,-32,16587
8550,-28,-56,16520
8560,-37,-48,16566
8570,-68,-62,16550
8580,-74,-51,16621
8590,-24,16,16885
8600,-81,-22,16791
8610,-116,-40,16761
8620,-121,-27,16822
8630,-135,-23,16839
8640,-95,33,17015
8650,-164,-18,16811
8660,-177,-15,16767
8670,-175,2,16756
8680,-139,54,16842
8690,-166,41,16700
8700,-163,58,16650
8710,-173,59,16549
8720,-223,20,16314
8730,-155,99,16481
8740,-238,25,16150
8750,-156,114,16380
8760,-176,100,16280
8770,-197,83,16190
8780,-247,36,16016
8790,-192,93,16198
8800,-216,68,16120
8810,-193,89,16199
8820,-213,66,16131
8830,-197,77,16177
8840,-143,125,16341
8850,-178,82,16194
8860,-162,88,16204
8870,-146,93,16203
8880,-147,80,16138
8890,-159,53,16027
8900,-164,34,15943
8910,-120,61,16020
8920,-68,95,16133
8930,-132,14,15874
8940,-87,39,15989
8950,-17,89,16204
8960,-28,57,16166
8970,-27,38,16186
8980,-50,-6,16137
8990,-46,-24,16187
9000,-11,-11,16345
9010,15,-6,16478
9020,48,5,16626
9030,17,-48,16548
9040,-22,-108,16431
9050,55,-51,16689
9060,21,-105,16557
9070,93,-52,16765
9080,73,-91,16647
9090,85,-96,16628
9100,130,-68,16711
9110,124,-89,16621
9120,154,-73,16652
9130,153,-86,16588
9140,126,-124,16443
9150,195,-65,16630
9160,203,-65,16628
9170,149,-125,16430
9180,127,-153,16347
9190,161,-122,16460
9200,193,-92,16570
9210,182,-103,16536
9220,205,-78,16611
9230,215,-65,16637
9240,138,-137,16361
9250,187,-82,16493
9260,168,-95,16383
9270,184,-70,16383
9280,230,-14,16473
9290,177,-56,16230
9300,212,-8,16282
9310,152,-55,16020
9320,172,-21,16035
9330,181,3,16029
9340,197,34,16064
9350,141,-4,15881
9360,151,22,15937
9370,106,-4,15833
9380,128,34,15969
9390,117,41,16010
9400,171,112,16278
9410,72,31,16043
9420,60,37,16099
9430,106,100,16345
9440,69,80,16306
9450,106,133,16505
9460,48,91,16378
9470,49,107,16433
9480,25,98,16399
9490,47,134,16509
9500,11,111,16421
9510,-20,91,16348
9520,-23,99,16374
9530,-108,25,16137
9540,-86,56,16263
9550,-57,93,16425
9560,-81,76,16420
9570,-87,77,16487
9580,-59,110,16673
9590,-122,50,16558
9600,-120,55,16658
9610,-141,36,16676
9620,-92,86,16919
9630,-181,-2,16684
9640,-156,22,16812
9650,-104,73,17010
9660,-180,-5,16758
9670,-139,32,16876
9680,-191,-23,16666
9690,-178,-14,16660
9700,-192,-33,16552
9710,-206,-52,16441
9720,-198,-50,16399
9730,-202,-59,16324
9740,-187,-52,16317
9750,-224,-94,16153
9760,-170,-47,16301
9770,-210,-95,16146
9780,-187,-79,16213
9790,-217,-115,16113
9800,-143,-48,16363
9810,-161,-73,16304
9820,-193,-112,16197
9830,-212,-136,16129
9840,-188,-119,16188
9850,-104,-41,16440
9860,-163,-105,16202
9870,-119,-68,16292
9880,-177,-131,16036
9890,-140,-98,16093
9900,-139,-102,16025
9910,-93,-61,16110
9920,-45,-17,16212
9930,-57,-33,16124
9940,-22,-2,16204
9950,-2,13,16254
9960,-58,-45,16067
9970,-21,-11,16207
9980,4,11,16321
9990,-74,-71,16094
