time_ms,ax,ay,az
1370,162,50,16134
1380,1,-92,14342
1390,135,59,14858
1400,159,101,16267
1410,-22,-63,16856
1420,95,71,17327
1430,137,130,16376
1440,145,156,15567
1450,68,95,15583
1460,12,55,16333
1470,-5,52,16822
1480,-9,63,16667
1490,-30,56,16295
1500,6,106,16409
1510,-14,97,16291
1520,-68,54,15788
1530,-50,83,15721
1540,16,158,16548
1550,-99,51,17058
1560,-107,50,17352
1570,-101,63,16535
1580,-25,144,15720
1590,-152,20,15210
1600,-30,145,17017
1610,-64,114,18196
1620,-53,126,18220
1630,-152,27,16673
1640,-237,-58,15446
1650,-190,-12,15905
1660,-222,-47,16682
1670,-157,14,17428
1680,-213,-45,16980
1690,-279,-115,16336
1700,-289,-130,16162
1710,-220,-66,16298
1720,-197,-48,15995
1730,-120,21,16047
1740,-254,-118,15958
1750,-245,-115,16853
1760,-97,25,17654
1770,-189,-73,16328
1780,-219,-110,14979
1790,-144,-42,15170
1800,-203,-108,16154
1810,-187,-99,17435
1820,-279,-198,16959
1830,-223,-148,15953
1840,-151,-81,15285
1850,-184,-121,15358
1860,-152,-95,16339
1870,-121,-69,16902
1880,-124,-77,16630
1890,-182,-141,15991
1900,-113,-76,16115
1910,-74,-42,16121
1920,-77,-49,15709
1930,-112,-88,15322
1940,-115,-95,15767
1950,-116,-99,16639
1960,10,23,17377
1970,-64,-54,16150
1980,-51,-44,15002
1990,-75,-72,14829
2000,27,27,16493
2010,-66,-69,17368
2020,25,19,17662
2030,27,17,16468
2040,43,30,15606
2050,-33,-49,15530
2060,148,127,17130
2070,60,36,17237
2080,114,86,17206
2090,129,97,16869
2100,54,17,16417
2110,136,95,16593
2120,158,112,16274
2130,138,86,15931
2140,154,97,16438
2150,239,176,17629
2160,90,21,17241
2170,204,129,16739
2180,182,100,15418
2190,221,132,15466
2200,309,214,17037
2210,150,48,17618
2220,233,124,17843
2230,215,100,16543
2240,157,34,15353
2250,250,121,15936
2260,213,77,16644
2270,183,41,16972
2280,251,102,16988
2290,219,65,16466
2300,256,97,16473
2310,206,42,16137
2320,115,-53,15393
2330,205,33,15530
2340,231,56,16120
2350,187,9,16851
2360,119,-59,16849
2370,185,5,16226
2380,159,-19,14974
2390,138,-39,14869
2400,109,-66,16067
2410,61,-112,17192
2420,102,-66,17357
2430,78,-85,16142
2440,64,-93,15244
2450,-57,-207,15082
2460,128,-13,16798
2470,56,-76,17072
2480,17,-105,16776
2490,78,-33,16735
2500,32,-67,16513
2510,-23,-110,16254
2520,2,-70,16071
2530,8,-49,15958
2540,-59,-102,16248
2550,-97,-125,17066
2560,-20,-30,17701
2570,-71,-65,16653
2580,-182,-158,15092
2590,-82,-41,15490
2600,-92,-33,16769
2610,-121,-44,17967
2620,-114,-20,17973
2630,-242,-131,16310
2640,-54,74,16178
2650,-201,-55,15860
2660,-141,21,17009
2670,-234,-56,17120
2680,-220,-27,16953
2690,-167,40,16786
2700,-232,-11,16391
2710,-234,-1,16242
2720,-200,44,15982
2730,-229,25,15613
2740,-204,58,16157
2750,-272,-1,16744
2760,-170,106,17361
2770,-262,18,16035
2780,-235,48,14913
2790,-246,38,14762
2800,-269,15,15889
2810,-129,154,17670
2820,-216,63,17212
2830,-179,95,16128
2840,-213,55,15035
2850,-89,171,15738
2860,-119,131,16471
2870,-141,98,16824
2880,-194,32,16350
2890,-155,57,16098
2900,-136,62,16024
2910,-117,65,15950
2920,-174,-9,15322
2930,-138,7,15217
2940,-34,92,16091
2950,11,119,17152
2960,-41,45,17171
2970,27,93,16518
2980,-28,15,15095
2990,-115,-93,14670
3000,-16,-16,16318
3010,-45,-67,17454
3020,0,-44,17558
3030,45,-20,16541
3040,103,17,15846
3050,44,-62,15840
3060,128,0,17050
3070,111,-34,17441
3080,70,-94,17028
3090,112,-69,16801
3100,196,-2,16984
3110,240,27,17009
3120,82,-145,15968
3130,175,-63,16082
3140,116,-134,16286
3150,218,-42,17546
3160,226,-42,17783
3170,215,-59,16783
3180,177,-102,15399
3190,177,-105,15293
3200,190,-94,16562
3210,226,-58,17925
3220,208,-75,17744
3230,264,-16,16740
3240,272,-4,15815
3250,112,-158,15383
3260,196,-66,16577
3270,251,-3,17242
3280,253,9,16999
3290,91,-141,15954
3300,253,32,16461
3310,124,-83,15809
3320,118,-74,15408
3330,206,28,15534
3340,91,-70,15561
3350,139,-6,16659
3360,134,5,16909
3370,168,56,16157
3380,80,-14,14655
3390,154,77,14933
3400,40,-18,15790
3410,56,14,17172
3420,4,-18,16965
3430,156,150,16453
3440,72,83,15276
3450,85,112,15650
3460,19,62,16362
3470,99,158,17244
3480,18,92,16780
3490,8,95,16454
3500,-9,90,16344
3510,-45,66,16166
3520,-98,24,15667
3530,-18,114,15847
3540,-61,81,16239
3550,8,159,17492
3560,-73,84,17486
3570,-52,111,16728
3580,-118,51,15348
3590,-108,64,15386
3600,-124,52,16643
3610,-212,-34,17602
3620,-184,-4,17694
3630,-146,33,16698
3640,-188,-9,15641
3650,-84,93,16330
3660,-217,-42,16703
3670,-199,-27,17260
3680,-163,5,17183
3690,-133,30,16922
3700,-239,-80,16363
3710,-158,-4,16547
3720,-202,-54,15972
3730,-202,-60,15720
3740,-160,-24,16333
3750,-267,-138,16762
3760,-213,-90,17189
3770,-178,-63,16371
3780,-175,-66,15155
3790,-182,-80,15020
3800,-233,-138,16034
3810,-180,-92,17462
3820,-202,-120,17268
3830,-150,-74,16247
3840,-206,-137,15065
3850,-68,-5,15821
3860,-142,-85,16379
3870,-178,-126,16674
3880,-124,-77,16632
3890,-126,-85,16215
3900,-147,-110,15980
3910,-90,-57,16058
3920,-133,-105,15487
3930,-37,-13,15622
3940,-55,-34,16010
3950,-121,-105,16618
3960,-22,-9,17246
3970,22,32,16499
3980,29,36,15327
3990,-21,-18,15045
4000,18,18,16458
4010,-38,-42,17479
4020,69,63,17839
4030,10,0,16400
4040,0,-13,15428
4050,124,108,16161
4060,27,7,16646
4070,-30,-54,16874
4080,39,11,16906
4090,117,85,16821
4100,91,54,16564
4110,74,33,16343
4120,241,194,16603
4130,125,74,15881
4140,196,139,16605
4150,164,101,17330
4160,142,73,17448
4170,158,82,16552
4180,134,52,15226
4190,133,44,15113
4200,227,132,16709
4210,103,1,17430
4220,169,60,17588
4230,219,103,16557
4240,224,101,15622
4250,89,-39,15293
4260,178,43,16506
4270,258,116,17270
4280,256,108,17011
4290,234,80,16523
4300,131,-28,15971
4310,151,-12,15919
4320,161,-6,15579
4330,196,24,15494
4340,262,87,16244
4350,146,-30,16689
4360,168,-10,17045
4370,138,-40,16041
4380,171,-8,15020
4390,53,-125,14528
4400,106,-69,16055
4410,178,5,17661
4420,129,-39,17465
4430,15,-148,15890
4440,126,-31,15490
4450,93,-57,15684
4460,-48,-191,16089
4470,-33,-167,16710
4480,85,-37,17047
4490,3,-108,16432
4500,-43,-143,16211
4510,-23,-110,16252
4520,49,-23,16260
4530,99,40,16319
4540,-127,-170,15975
4550,-63,-91,17202
4560,-58,-69,17548
4570,-15,-8,16879
4580,-135,-111,15279
4590,-120,-79,15336
4600,-125,-66,16638
4610,-145,-68,17870
4620,-113,-19,17978
4630,-194,-82,16503
4640,-181,-52,15671
4650,-173,-26,15974
4660,-212,-50,16723
4670,-133,44,17525
4680,-269,-76,16757
4690,-223,-15,16563
4700,-199,21,16521
4710,-210,23,16339
4720,-207,36,15952
4730,-162,91,15879
4740,-236,26,16031
4750,-152,118,17225
4760,-166,109,17376
4770,-250,30,16085
4780,-238,45,14902
4790,-184,100,15011
4800,-104,180,16548
4810,-219,64,17309
4820,-115,164,17617
4830,-256,18,15821
4840,-233,35,14957
4850,-195,65,15314
4860,-156,94,16322
4870,-245,-5,16406
4880,-209,17,16290
4890,-144,69,16145
4900,-146,51,15981
4910,-126,55,15910
4920,-30,134,15899
4930,-92,54,15403
4940,-98,28,15834
4950,-98,9,16712
4960,-35,51,17196
4970,-9,55,16369
4980,-69,-26,14928
4990,21,42,15216
5000,6,6,16409
5010,20,-1,17717
5020,-68,-112,17285
5030,52,-12,16570
5040,54,-32,15647
5050,118,11,16137
5060,54,-72,16756
5070,130,-16,17517
5080,162,-2,17399
5090,186,4,17095
5100,136,-61,16746
5110,94,-119,16421
5120,72,-154,15930
5130,141,-97,15946
5140,177,-73,16530
5150,169,-91,17348
5160,187,-81,17628
5170,168,-106,16594
5180,310,30,15932
5190,158,-124,15215
5200,281,-4,16924
5210,100,-184,17421
5220,242,-41,17881
5230,174,-106,16379
5240,185,-90,15468
5250,244,-26,15911
5260,288,24,16944
5270,190,-63,17000
5280,149,-95,16580
5290,243,9,16560
5300,134,-86,15983
5310,131,-76,15838
5320,145,-47,15516
5330,182,4,15439
5340,123,-39,15686
5350,186,40,16847
5360,232,102,17299
5370,139,27,16041
5380,9,-85,14371
5390,101,24,14720
5400,35,-22,15771
5410,71,30,17232
5420,122,99,17436
5430,-16,-22,15761
5440,72,83,15276
5450,39,66,15467
5460,98,141,16677
5470,64,123,17103
5480,34,107,16844
5490,101,188,16826
5500,-58,41,16149
5510,55,167,16570
5520,30,154,16185
5530,-38,95,15769
5540,13,156,16537
5550,-76,74,17151
5560,-114,43,17322
5570,-74,90,16643
5580,-96,73,15436
5590,-173,0,15126
5600,-99,76,16739
5610,-69,109,18176
5620,-104,74,18013
5630,-107,72,16852
5640,-98,80,16004
5650,-238,-61,15711
5660,-164,10,16917
5670,-192,-20,17290
5680,-169,-1,17155
5690,-242,-78,16484
5700,-189,-30,16562
5710,-154,0,16562
5720,-220,-72,15900
5730,-143,-1,15956
5740,-206,-70,16152
5750,-277,-147,16725
5760,-201,-79,17235
5770,-189,-74,16327
5780,-104,4,15441
5790,-219,-117,14871
5800,-245,-150,15986
5810,-200,-112,17384
5820,-226,-144,17173
5830,-223,-148,15952
5840,-134,-65,15350
5850,-170,-107,15413
5860,-190,-133,16186
5870,-128,-76,16876
5880,-130,-83,16607
5890,-137,-96,16172
5900,51,87,16773
5910,-126,-94,15912
5920,-47,-19,15830
5930,-136,-112,15224
5940,-46,-26,16045
5950,-23,-6,17012
5960,-60,-47,17094
5970,-21,-11,16322
5980,-54,-47,14991
5990,-13,-10,15078
6000,-17,-17,16312
6010,-9,-12,17598
6020,-22,-28,17471
6030,42,32,16530
6040,102,89,15839
6050,49,33,15862
6060,122,102,17027
6070,70,47,17279
6080,57,29,16976
6090,40,8,16510
6100,132,95,16727
6110,162,120,16694
6120,121,74,16125
6130,228,177,16293
6140,136,78,16363
6150,141,78,17236
6160,193,124,17651
6170,272,197,17010
6180,183,101,15424
6190,218,130,15455
6200,205,110,16621
6210,109,7,17456
6220,224,115,17806
6230,217,101,16550
6240,250,127,15725
6250,136,6,15478
6260,151,15,16395
6270,123,-18,16731
6280,99,-48,16383
6290,225,71,16490
6300,186,26,16191
6310,148,-15,15906
6320,252,84,15942
6330,143,-28,15282
6340,152,-23,15802
6350,214,36,16958
6360,122,-56,16862
6370,137,-41,16036
6380,192,13,15105
6390,148,-29,14908
6400,150,-25,16230
6410,156,-16,17576
6420,125,-43,17449
6430,84,-79,16165
6440,63,-94,15238
6450,92,-58,15681
6460,26,-115,16391
6470,26,-106,16951
6480,-47,-171,16513
6490,77,-34,16728
6500,103,3,16797
6510,-2,-89,16338
6520,-106,-179,15636
6530,-9,-67,15886
6540,45,1,16665
6550,-53,-80,17245
6560,0,-11,17779
6570,-42,-36,16770
6580,-61,-38,15575
6590,-13,27,15766
6600,-123,-64,16646
6610,-140,-63,17890
6620,-156,-62,17804
6630,-226,-114,16377
6640,-230,-101,15472
6650,-207,-61,15836
6660,-188,-26,16819
6670,-202,-24,17249
6680,-195,-2,17052
6690,-232,-24,16525
6700,-200,20,16519
6710,-140,93,16619
6720,-182,62,16054
6730,-129,125,16013
6740,-306,-42,15751
6750,-266,4,16769
6760,-190,85,17280
6770,-169,111,16408
6780,-181,102,15129
6790,-222,62,14859
6800,-251,33,15960
6810,-216,66,17319
6820,-122,157,17588
6830,-227,48,15939
6840,-122,146,15400
6850,-180,80,15374
6860,-190,60,16187
6870,-75,164,17086
6880,-183,43,16394
6890,-110,103,16280
6900,-124,73,16069
6910,-141,40,15851
6920,-39,125,15862
6930,-62,83,15521
6940,-75,51,15927
6950,-120,-12,16624
6960,-43,42,17161
6970,-24,41,16310
6980,-119,-76,14728
6990,-44,-22,14954
7000,21,21,16470
7010,32,11,17767
7020,64,20,17816
7030,32,-32,16490
7040,65,-20,15695
7050,41,-65,15831
7060,42,-84,16707
7070,30,-116,17116
7080,175,10,17449
7090,124,-57,16846
7100,11,-186,16245
7110,68,-144,16320
7120,113,-114,16092
7130,133,-106,15911
7140,160,-90,16460
7150,210,-50,17513
7160,167,-101,17548
7170,159,-115,16560
7180,167,-112,15359
7190,183,-100,15314
7200,140,-144,16363
7210,264,-20,18077
7220,222,-61,17800
7230,237,-43,16630
7240,171,-105,15410
7250,197,-73,15724
7260,184,-78,16528
7270,132,-121,16768
7280,200,-43,16787
7290,186,-47,16333
7300,172,-48,16138
7310,200,-7,16113
7320,246,53,15919
7330,208,30,15543
7340,170,7,15875
7350,98,-47,16497
7360,113,-15,16825
7370,137,25,16036
7380,90,-3,14699
7390,122,46,14806
7400,168,110,16303
7410,111,70,17393
7420,2,-20,16958
7430,117,110,16296
7440,63,74,15240
7450,37,65,15461
7460,92,136,16654
7470,31,89,16969
7480,116,189,17171
7490,-86,0,16074
7500,54,154,16603
7510,-17,94,16280
7520,27,151,16173
7530,-104,28,15503
7540,-93,49,16112
7550,-37,113,17308
7560,-88,69,17428
7570,-57,107,16711
7580,-2,166,15809
7590,-121,51,15333
7600,-139,36,16579
7610,-165,13,17792
7620,-32,147,18303
7630,-133,46,16749
7640,-268,-89,15321
7650,-203,-25,15854
7660,-172,2,16882
7670,-177,-5,17348
7680,-227,-59,16923
7690,-292,-128,16287
7700,-203,-44,16505
7710,-172,-18,16490
7720,-166,-17,16119
7730,-304,-161,15314
7740,-169,-33,16300
7750,-174,-45,17135
7760,-201,-78,17238
7770,-143,-28,16511
7780,-241,-132,14890
7790,-234,-132,14810
7800,-249,-154,15968
7810,-186,-97,17442
7820,-240,-158,17118
7830,-277,-201,15739
7840,-183,-114,15155
7850,-149,-86,15496
7860,-129,-72,16429
7870,-148,-96,16796
7880,-144,-98,16550
7890,-89,-47,16364
7900,-128,-91,16056
7910,-213,-181,15563
7920,-101,-73,15614
7930,-52,-28,15562
7940,-62,-42,15979
7950,-84,-68,16765
7960,-67,-54,17065
7970,25,35,16509
7980,-51,-45,15000
7990,38,41,15286
8000,38,38,16537
8010,29,25,17751
8020,125,119,18063
8029,35,26,16504
8040,99,86,15827
8050,120,103,16143
8060,117,97,17008
8070,-15,-39,16932
8080,83,55,17082
8090,160,128,16992
8100,157,121,16830
8109,233,191,16979
8120,135,89,16181
8130,230,178,16300
8140,90,32,16179
8150,171,108,17356
8160,61,-7,17123
8170,195,120,16702
8180,258,176,15723
8189,224,136,15480
8200,286,190,16943
8210,209,107,17856
8220,216,107,17775
8230,139,23,16237
8240,193,70,15498
8250,147,18,15525
8260,171,35,16477
8270,130,-11,16760
8280,157,9,16614
8290,266,112,16652
8300,139,-20,16003
8310,140,-23,15872
8320,227,59,15844
8330,163,-8,15361
8340,148,-26,15789
8350,159,-17,16739
8360,271,92,17457
8370,47,-132,15674
8380,141,-37,14901
8390,128,-49,14829
8400,113,-62,16083
8410,68,-105,17221
8420,105,-63,17369
8430,118,-46,16300
8440,121,-37,15470
8450,55,-94,15534
8460,18,-124,16355
8470,123,-9,17339
8480,84,-38,17043
8490,-63,-175,16164
8500,13,-86,16438
8510,-20,-107,16268
8520,-97,-171,15670
8530,-54,-113,15704
8540,50,7,16688
8550,-6,-34,17430
8560,-13,-24,17726
8570,-56,-50,16712
8580,-60,-36,15579
8590,31,72,15944
8600,-56,2,16912
8610,-109,-32,18014
8620,-111,-17,17987
8630,-128,-16,16768
8640,-57,71,16167
8650,-165,-19,16003
8660,-183,-21,16838
8670,-176,2,17355
8680,-111,82,17390
8690,-153,54,16842
8700,-145,76,16741
8710,-160,73,16539
8720,-242,2,15815
8730,-126,128,16026
8740,-263,0,15921
8750,-126,143,17327
8760,-161,115,17398
8770,-197,83,16297
8780,-281,3,14733
8790,-191,94,14985
8800,-233,51,16032
8810,-198,84,17390
8820,-235,44,17134
8830,-212,62,15997
8840,-125,142,15386
8850,-189,71,15339
8860,-167,83,16277
8870,-147,92,16800
8880,-154,73,16512
8890,-181,32,15996
8900,-195,3,15787
8910,-129,52,15899
8920,-50,114,15817
8930,-163,-17,15117
8940,-96,30,15843
8950,11,118,17150
8960,-14,71,17277
8970,-20,44,16325
8980,-66,-22,14941
8990,-68,-46,14857
9000,-19,-19,16307
9010,17,-4,17706
9020,64,20,17819
9030,3,-61,16375
9040,-70,-156,15150
9050,51,-55,15868
9060,-13,-140,16483
9070,99,-46,17394
9080,57,-107,16978
9090,70,-111,16632
9100,138,-59,16753
9110,121,-91,16533
9120,165,-61,16301
9130,158,-80,16014
9140,107,-142,16251
9150,217,-43,17541
9160,226,-41,17785
9170,132,-142,16450
9180,91,-188,15054
9190,144,-138,15159
9200,195,-90,16580
9210,174,-111,17715
9220,210,-73,17754
9230,227,-54,16588
9240,98,-178,15117
9250,179,-91,15652
9260,146,-116,16378
9270,175,-79,16937
9280,252,7,16994
9290,166,-67,16251
9300,227,6,16358
9310,130,-77,15831
9320,166,-27,15597
9330,185,7,15450
9340,216,53,16058
9350,128,-18,16613
9360,149,20,16969
9370,81,-30,15809
9380,123,29,14829
9390,111,34,14759
9400,207,148,16459
9410,49,8,17146
9420,36,13,17094
9430,120,114,16312
9440,66,77,15251
9450,135,163,15853
9460,48,91,16475
9470,56,115,17072
9480,26,99,16810
9490,70,157,16701
9500,18,118,16458
9510,-25,86,16245
9520,-23,100,15969
9530,-155,-21,15301
9540,-110,31,16040
9550,-54,96,17240
9560,-86,71,17435
9570,-88,75,16586
9580,-34,135,15684
9590,-132,40,15289
9600,-122,53,16648
9610,-151,26,17846
9620,-62,116,18180
9630,-205,-26,16458
9640,-158,20,15762
9650,-66,111,16402
9660,-188,-13,16819
9670,-116,55,17594
9680,-199,-30,17038
9690,-173,-9,16762
9700,-194,-34,16544
9710,-214,-60,16323
9720,-199,-51,15985
9730,-204,-62,15712
9740,-180,-44,16256
9750,-240,-111,16872
9760,-150,-28,17439
9770,-219,-103,16209
9780,-182,-73,15128
9790,-233,-131,14816
9800,-112,-17,16519
9810,-145,-57,17602
9820,-202,-120,17268
9830,-236,-161,15900
9840,-202,-133,15081
9850,-65,-2,15832
9860,-168,-111,16272
9870,-102,-50,16979
9880,-205,-158,16308
9890,-148,-107,16128
9900,-154,-117,15952
9910,-84,-52,16078
9920,-11,16,15973
9930,-38,-14,15618
9940,10,30,16273
9950,36,53,17251
9960,-64,-51,17080
9970,-10,0,16367
9980,25,31,15307
9990,-115,-112,14670
